ZIP,Airbnb_Rental_Price,median_income,average_income
98052,99,117303,142056
98101,358.227577,68750,103994
98102,152.0249433,83403,116540
98103,128.4224344,91740,116755
98104,286.6322188,37610,72472
98105,112.1547344,56015,105056
98106,100.2132701,62726,74851
98107,151.4689441,83581,110683
98108,115.3486842,55314,73572
98109,183.6945899,95719,127169
98112,173.968661,110051,185379
98115,117.5080214,100794,129223
98116,151.2145594,100711,126811
98117,140.130814,102519,125356
98118,126.735,62504,85779
98119,211.6190476,85171,129047
98121,217.8980044,94813,117075
98122,145.32831,72018,103211
98125,109.7942857,61014,84640
98126,118.056,73698,98393
98133,119.9150327,60409,78272
98134,248.1111111,58125,83394
98136,139.1833333,97673,120737
98144,125.1181619,71628,105719
98146,128.24,61160,89360
98155,133.25,81405,99762
98168,87.5,53992,68212
98177,131.4418605,100036,132881
98178,116.8695652,72478,86427
98199,161.3965517,103309,144778